id,system_id,"name","name_en","alt_en","name_lat","mesh","umls","uri","created_at","updated_at","deleted_at"
1,4,"бял дроб","lung",NULL,"pulmo","A04.411",NULL,NULL,"2020-05-17 08:56:39","2020-05-23 10:19:57",NULL
2,1,"корем","abdomen",NULL,"externus abdominis","A01.047",NULL,NULL,"2020-05-17 09:04:07","2020-05-23 10:33:36",NULL
3,1,"крайници","extremities",";extremity;extremity","summa","A01.378",NULL,"http://www.wikidata.org/entity/Q515083","2020-05-17 09:06:53","2020-05-25 11:02:25",NULL
4,7,"сърце","heart",NULL,"cor","A07.541",NULL,NULL,"2020-05-17 09:07:24","2020-05-23 10:44:41",NULL
5,17,"кожа","skin",NULL,"pellis","A17.815",NULL,NULL,"2020-05-17 09:07:42","2020-05-23 10:31:33",NULL
6,10,"слезка","spleen",NULL,"lienem","A10.549.700",NULL,NULL,"2020-05-17 09:12:54","2020-05-23 10:47:21",NULL
7,1,"врат","neck",NULL,"collum","A01.598",NULL,NULL,"2020-05-17 09:29:04","2020-05-23 10:20:51",NULL
8,1,"глава","head",NULL,"capitulum","A01.456",NULL,NULL,"2020-05-17 09:29:15","2020-05-23 10:21:27",NULL
9,NULL,"гърло","throat",NULL,"faucium",NULL,NULL,NULL,"2020-05-17 09:29:34","2020-05-17 09:29:34",NULL
10,10,"лимфни възли","lymph nodes",NULL,"nodorum lymphaticorum","A10.549.400",NULL,NULL,"2020-05-17 09:30:02","2020-05-23 10:38:24",NULL
11,6,"щитовидна жлеза","thyroid gland",NULL,"glandulae","A06.407.900",NULL,NULL,"2020-05-17 09:34:36","2020-05-23 10:42:47",NULL
12,3,"език","tongue",NULL,"lingua","A03.556.500.885",NULL,NULL,"2020-05-17 10:30:46","2020-05-23 10:37:51",NULL
13,7,"артерия","artery",NULL,"arteriae coronariae","A07.231.114",NULL,NULL,"2020-05-17 10:31:17","2020-05-23 10:17:55",NULL
14,3,"черен дроб","liver",NULL,"iecur","A03.620",NULL,NULL,"2020-05-17 10:32:01","2020-05-23 10:43:30",NULL
15,NULL,"опорно-двигателен апарат","musculoskeletal system",NULL,"musculoskeletal system",NULL,NULL,NULL,"2020-05-17 10:35:01","2020-05-17 10:36:32",NULL
16,1,"гръден кош","thorax",NULL,"thorax","A01.911",NULL,NULL,"2020-05-17 10:38:28","2020-05-23 10:24:26",NULL
17,5,"бъбрек","kidney",NULL,"ren","A05.810.453",NULL,NULL,"2020-05-17 10:41:19","2020-05-23 10:19:21",NULL
18,9,"лигавица","mucosa",NULL,"tunicae mucosae","MeSH A09.531.623",NULL,NULL,"2020-05-17 10:42:20","2020-05-23 10:37:38",NULL
