id,"organ","sentence",frequency
1,"глава","ГЛАВА и ШИЯ-с нормална конфигурация",38
2,"щитовидна жлеза","Щитовидна жлеза  с меко еластична консистенция неувеличена",33
3,"език","ЕЗИК-необложен",3586
4,"гърло","ГЪРЛО-спокойно, незачервено",49
5,"бял дроб","БЯЛ ДРОБ-чисто везикуларно дишане",5610
6,"сърце","СЪРЦЕ-ритмична сърдечна дейност акц А2",54
7,"пулс","ПУЛС-74",1385
8,"кръвно налягане","RR-130/80",2959
9,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Нормална подвижност на големи и малки стави",33
10,"бял дроб","БЯЛ ДРОБ-везикуларно дишане, сухи свиркащи хрипове двустранно, удължено издишване",7
11,"бъбрек","SUCC.REN:--",5466
12,"сърце","СЪРЦЕ-ритмична сърдечна дейност",8178
13,"кръвно налягане","RR-120/80",2307
14,"лимфни възли","ПЕРИФЕРНИ ЛИМФНИ ВЪЗЛИ-не се палпират увеличени",1705
15,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Нормални активни  и пасивни движения в големи  и малки стави",12
16,"пулс","ПУЛС-72",1689
17,"кръвно налягане","RR-140/90",673
18,"бял дроб","; БЯЛ ДРОБ-везикуларно дишане, сухи свиркащи хрипове двустранно",10
19,"пулс","ПУЛС-80",1085
20,"бял дроб","БЯЛ ДРОБ-чисто везикуларно дишане, без хрипова находка",13
21,"сърце","СЪРЦЕ-ритмична сърдечна дейност, без шумове, акцентуиран А2 тон; ПУЛС-65",4
22,"кръвно налягане","RR-135/85",346
23,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-не се опипват увеличени",14
24,"бял дроб","БЯЛ ДРОБ-Чисто везикуларно дишане, без хрипове",125
25,"пулс","ПУЛС-79",67
26,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-Не се палпират увеличени",3581
27,"пулс","ПУЛС-70",1472
28,"сърце","СЪРЦЕ-ритмична сърдечна дейност ,без шумове",4
29,"пулс","ПУЛС-87",50
30,"кръвно налягане","RR-140/80",1700
31,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-незатруднени активни и пасивни движения в големи и малки стави",4
32,"щитовидна жлеза","ЩИТОВИДНА ЖЛЕЗА-Неувеличена,с меко еластична консистенция",6
33,"око","Цветоусещане нормално",39
34,"бял дроб","ГР.КОШ И БЯЛ ДРОБ-Чисто везикуларно дишане, без хрипове",6
35,"сърце","СЪРЦЕ-Ритмична сърдечна дейност, без шумове",4
36,"корем","КОРЕМ-Мек, палпаторно неболезнен",4244
37,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Нормални активни и пасивни движения в големи и малки стави на горни и долни крайници",4
38,"кръвно налягане","RR-140/85",302
39,"сърце","СЪРЦЕ-ритмична сърдечна дейност, акц( А2 тон; ПУЛС-72",6
40,"сърце","СЪРЦЕ-ритмична сърдечна дейност акц. А2тон; ПУЛС-80",12
41,"кръвно налягане","RR-150/90",269
42,"гърло","; ГЪРЛО-зачервено",6
43,"пулс","ПУЛС-59",60
44,"пулс","ПУЛС-51",5
45,"език","; ЕЗИК-обложен",64
46,"сърце","СЪРЦЕ-ритмична сърдечна дейност акц. А2 тон; ПУЛС-70",7
47,"сърце","СЪРЦЕ-ритмична сърдечна дейност, без шумове, акцентуиран А2 тон; ПУЛС-72",4
48,"пулс","ПУЛС-78",1291
49,"кръвно налягане","RR-135/80",665
50,"специален статус","; СПЕЦ.СТАТУС-.",57
51,"кръвно налягане","RR-130/85",464
52,"сърце","СЪРЦЕ-Ритмична сърдечна дейност, беш шумове",7
53,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-Не сепалпират увеличени",3
54,"кръвно налягане","RR-190/100",23
55,"кръвно налягане","RR-180/95",15
56,"сърце","СЪРЦЕ-ритмична сърдечна дейност акц. А2 тон; ПУЛС-78",8
57,"пулс","ПУЛС-68",1504
58,"сърце","СЪРЦЕ-ритмична сърдечна дейност, без шумове, акцентуиран А2 тон; ПУЛС-78",3
59,"температура","; ТЕМПЕРАТУРА-36",120
60,"сърце","СЪРЦЕ-ритмична сърдечна дейност , акц. А2 тон; ПУЛС-74",7
61,"лимфни възли","; ПЕРИФЕРНИ ЛИМФНИ ВЪЗЛИ-неувеличени",229
62,"бял дроб","; БЯЛ ДРОБ-Чисто везикуларно дишане, без хрипове",8
63,"кожа","КОЖА-Нормален тургор и оцветка",4303
64,"глава","ГЛАВА и ШИЯ-Без особености",4354
65,"лимфни възли","ПЕРИФЕРНИ ЛИМФНИ ВЪЗЛИ-Неувеличени",6383
66,"език","ЕЗИК-Влажен необложен",5880
67,"гърло","ГЪРЛО-Без особености",3772
68,"корем","КОРЕМ-Мек палпаторно неболезнен",4645
69,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-Неувеличени",7146
70,"език","ЕЗИК-влажен , обложен",124
71,"гърло","ГЪРЛО-Спокойно",4671
72,"бял дроб","БЯЛ ДРОБ-Леко отслабено везикуларно дишане",47
73,"специален статус","СПЕЦ.СТАТУС-Неврологичен статус б.о.",24
74,"щитовидна жлеза","ЩИТОВИДНА ЖЛЕЗА-нормални р-ри и плътност",201
75,"бял дроб","ГР.КОШ И БЯЛ ДРОБ-Чисто везикуларно дишане",446
76,"сърце","СЪРЦЕ-нормална сърдечна дейност",97
77,"език","ЕЗИК-влажен ,необложен",133
78,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-нeувеличени",309
79,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Без патология",281
80,"бял дроб","; БЯЛ ДРОБ-отслабено дишане",9
81,"кръвно налягане","RR-160/100",124
82,"сърце","СЪРЦЕ-аритмична сърдечна дейност",284
83,"пулс","ПУЛС-100",88
84,"бъбрек","SUCC.REN:-+",27
85,"кожа","КОЖА-БЛЕДА",1365
86,"сърце","СЪРЦЕ-РИТМ СЪРД ДЕЙНОСТ",11
87,"пулс","ПУЛС-64",389
88,"кръвно налягане","13080",9
89,"кръвно налягане","13085",2
90,"бял дроб","Пулмо-чисто вез. дишане без хрипове",4860
91,"кръвно налягане","13070",3
92,"лимфни възли","ПЕРИФЕРНИ ЛИМФНИ ВЪЗЛИ-Не се палпират",372
93,"език","ЕЗИК-необложен, бледорозов",17
94,"кръвно налягане","RR-145/85",215
95,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-не се палпират",2439
96,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-б.о.",590
97,"кожа","КОЖА-розова",1553
98,"щитовидна жлеза","ЩИТОВИДНА ЖЛЕЗА-нормални размери и консистенция",438
99,"сърце","СЪРЦЕ-ритмична, нормофреквентна сърдечна дейност, ясни тонове",1362
100,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-без патолог",879
101,"нервна система","НС Ромберг++",12
102,"бял дроб","Пулмо: чисто везикуларно дишане",630
103,"опорно-двигателен апарат","ОДА-коленни стави деформирани",2
104,"черен дроб","Черен дроб и слезка-б.о.",30
105,"опорно-двигателен апарат","ОДА- Дясна раменна става болезнена.",1
106,"общо състояние","Дете в добро общо състояние",1
107,"кръвно налягане","АН-120/80",111
108,"око","Цветоусещане-норма.",1
109,"бял дроб","Пулмо - чисто вез. дишане",285
110,"корем","Корем - мек, неболезнен,",89
111,"черен дроб","ч. дроб и далак - не се палпират увеличени",80
112,"крайници","Крайници - без отоци",1091
113,"гърло","Гърло -силно хиперемирано",8
114,"корем","Корем - мек, еластични стени, неболезнен при палпация",7
115,"опорно-двигателен апарат","ОДА- ф-ра на лява китка",7
116,"нервна система","Нс ласег ++",7
117,"опорно-двигателен апарат","ОДА-б.о.",164
118,"гърло","Гърло- хиперемирано",52
119,"сърце","ССС-ма: рсд.,АН- 12/80",1
120,"корем","Корем- мек, неболезнен при палпация",106
121,"опорно-двигателен апарат","ОДА - б.о.",167
122,"общо състояние","Увредено общо състояние",1602
123,"бял дроб","Пулмо: отслабено везикуларно дишане",29
124,"опорно-двигателен апарат","ОДА-походка нарушена.",1
125,"опорно-двигателен апарат","ОДА-bolka w dwete glezenni stawi   които са оточни",1
126,"общо състояние","ЗАДОВ ОБЩО СЪСТОЯНИЕ",1
127,"гърло","Гърло- зачервено",9
128,"бял дроб","Пулмо: отслабено  везикуларно дишане",1
129,"общо състояние","Общо състояние-добро",10
130,"опорно-двигателен апарат","ОДА-свобод",1
131,"вена","вени-без варици",1
132,"бъбрек","SR-отр.Неврол",1
133,"бял дроб","Пулмо-чисто вез. дишане",170
134,"бял дроб","Пулмо - везикуларно дишане",170
135,"корем","Корем мек спокоен.",10
136,"общо състояние","Добро общо състояние.",31
137,"общо състояние","В средно увредено общо състояние",87
138,"крайници","Крайници-без отоци",2997
139,"корем","Корем-мек неболезнен",789
140,"бял дроб","Пулмо-изострено  вез. дишане без хрипове",11
141,"език","Език - необложен",79
142,"бял дроб","Пулмо- обострено везикул",2
143,"крайници","Крайници-болка в дясно коляно",3
144,"черен дроб","Черен дроб и слезка неувелличени . ОДА в норма",46
145,"глава","Глава и шия в норма",14
146,"опорно-двигателен апарат","ОДА в норма",11
147,"бял дроб","Pulmo-без физикални данни за застой",371
148,"кожа","Кожа и видими лигавици: Бледи",649
149,"гърло","Гърло: Нормално, сливици-без аномалии",813
150,"бял дроб","Дихателна система: Чисто везикуларно дишане, без хрипова находка",1533
151,"сърце","Сърдечно-съдова система: Ритмична сърдечна дейност - ясни тонове, без прибавени шумове",436
152,"слезка","Далак:  Не се палпира",669
153,"корем","Корем: Мек и спокоен, с добра перисталтика",857
154,"черен дроб","Черен дроб: Не се палпира",695
155,"крайници","Крайници: Със запазен тонус, без оттоци",579
156,"нервна система","Нервна система: Нормална без патологични отклонения",391
157,"око","Зрение: Нормално за възрастта, цветоусещане - без отклонение",205
158,"ухо","Слух: Нормален",264
159,"кожа","Кожа-мургава",146
160,"лигавица","Лигавици-бледорозави",3
161,"опорно-двигателен апарат","ОДА-троф промени по подбедриците",3
162,"глава","Глава -правилна конфигурация",2
163,"общо състояние","В задоволително общо състоние",6
164,"щитовидна жлеза","ПЛВ ищитовидна жлеза не се палпират увеличени",6
165,"бъбрек","SR/-/двустранно",8
166,"общо състояние","Добро общо състояние",10617
167,"кръвно налягане","RR-170/80",35
168,"бъбрек","Succ Ren-/-/отр двуст",12
169,"черен дроб","Hepar-неувел",2
170,"бял дроб","Pulmo-чисто вез.симетричен гр кош Дишане",1
171,"сърце","Cor-РСД, ясни сърд. тонове",2
172,"опорно-двигателен апарат","ОДА-спондилозис лумбалис",1
173,"гърло","Гърло-хиперемирано.",8
174,"черен дроб","Непар-неувеличен",1
175,"опорно-двигателен апарат","ОДА-миалгия.",1
176,"глава","Глава правилна конфигурация",154
177,"лимфни възли","ПЛВ-не се палпират увеличени",68
178,"бял дроб","Pulmo-чисто вез. Дишане",14
179,"сърце","Cor-АРСД, ясни сърд. тонове",9
180,"кръвно налягане","RR-110/85",19
181,"черен дроб","Hepar-неуве",9
182,"сърце","Cor-АРСД,ФА-перманенс",2
183,"кръвно налягане","RR-120/85",96
184,"черен дроб","Блумберг /-/; Черен дроб: Не се палпира",19
185,"кожа","Кожа и видими лигавици-бледи",673
186,"език","Език обложен",47
187,"глава","Глава-правилна конфигурация",50
188,"черен дроб","Черен дроб и слезка - неувеличени",620
189,"опорно-двигателен апарат","ОДА - без отоци по подбедриците.",25
190,"бял дроб","Дих. с/ма-везик",7
191,"сърце","Cor - Р.С.Д.  Fr88/мин.  R.R.135/85",12
192,"корем","Палп.болка в корема",13
193,"сърце","Cor - Р.С.Д.  Fr88/мин.  R.R.150/90",1
194,"опорно-двигателен апарат","ОДА - без отоци по подбедриците",13
195,"кожа","Кожа и лигавици - бледи",121
196,"бял дроб","Pulmo - обострено вез. дишане с прибавени влажни хрипове двустранно",2
197,"бял дроб","Pulmo - обострено вез. дишане с единични влажни хрипове в основите",10
198,"бял дроб","Pulmo - Чисто вез. дишане",340
199,"око","Зрение VOD- 1.0VOS-0,8",1
200,"око","Цветоусещане-норм.",16
201,"крайници","Крайници- без отоци.",448
202,"бял дроб","Pulmo - грубо везикуларно дишане, без хрипове",1
203,"кръвно налягане","RR-11580",1
204,"корем","Корем - мек, спокоен , без висцеромегалия",20
205,"млечна жлеза","Мл. жлези-мастопатични промени.",8
206,"кръвно налягане","RR-12570",2
207,"кръвно налягане","RR-13070",8
208,"крайници","Крайници-без отоци.",1509
209,"кръвно налягане","RR-12070",3
210,"кръвно налягане","RR-12080",11
211,"бял дроб","Pulmo - чисто везикуларно дишане",243
212,"гърло","Гърло - спокойно",294
213,"сърце","Cor- ясни тонове.",4
214,"око","Цветоусещане - в норма",7
215,"кожа","Кожа - чиста , розова",1
216,"бял дроб","Чисто везик",47
217,"бял дроб","дишане",2312
218,"корем","Корем- мек, без висцеромегалия",1
219,"крайници","Крайници- без отоци",415
220,"бял дроб","Pulmo - отслабено везикуларно дишане с удължен експириум",15
221,"кръвно налягане","RR-13070.",5
222,"кръвно налягане","RR-13570.",2
223,"кръвно налягане","RR-12070.",1
224,"кръвно налягане","RR-13080.",2
225,"кръвно налягане","RR-12080.",4
226,"крайници","Крайници-ливидност и оток на лява подбедрица.",1
